boot_camp,LI_profiles,work_there,ratio
General Assembly,20543,8,0.0004
Flatiron School,1498,108,0.0721
Springboard,1003,46,0.0459
Thinkful,915,93,0.1016
Galvanize,800,91,0.1138
NYC Data Science Academy,408,28,0.0686
The Data Incubator,396,9,0.0227
Dataquest.io,299,6,0.0201
Metis,116,8,0.069
RMOTR,52,3,0.0577
